"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"19","语言与沟通","模仿表示物品的词","模仿“猫”、“狗”、“鸭”、“鹅”的发音","测试员将“猫”的图片给儿童看，然后让儿童看着自己的口型变化，并说：“猫”，观察其反应。如果儿童及时模仿，再测试儿童对“狗”、“鸭”、“鹅”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","表示“猫”、“狗”、“鸭”、“鹅”的图片","12-18月","是","通过","盯着测试员的口部即时模仿“猫”、“狗”、“鸭”、“鹅”","中间反应","能够模仿“猫”、“狗”、“鸭”、“鹅”中一至三个的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“猫”、“狗”、“鸭”、“鹅”","不通过","没有任何反应"
"20","语言与沟通","模仿表示物品的词","模仿“大”“好”的发音","测试员让儿童看着自己的口型变化，并说：“大”，观察其反应。如果儿童及时模仿，再测试儿童对“好”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","","18-24月","是","通过","盯着测试员的口部即时模仿“大”、“好”","中间反应","能够模仿“大”或“好”其中一个的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“大”、“好”","不通过","没有任何反应"
"21","语言与沟通","模仿表示物品的词","模仿数量“1—10”的发音","测试员将“1”的图片给儿童看，然后让儿童看着自己的口型变化，并说：“1”，观察其反应。如果儿童及时模仿，再测试儿童对“2、3……”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","表示数量的卡片“1、2、3、4、5、6、7、8、9、10”","18-24月","是","通过","盯着测试员的口部并即时分别模仿“1、2、3、4、5、6、7、8、9、10”","中间反应","能够模仿其中一至九个数字的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“1、2、3、4、5、6、7、8、9、10”","不通过","没有任何反应"
"22","语言与沟通","模仿表示动作的词","模仿“跑”、“爬”“打”的发音","测试员将“跑”的图片给儿童看，然后让儿童看着自己的口型变化，并说：“跑”，观察其反应。如果儿童及时模仿，再测试儿童对“爬”、“打”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","表示“跑”、“爬”“打”动作的卡片","12-18月","是","通过","盯着测试员的口部即时模仿“跑”、“爬”、“打”","中间反应","能够模仿“跑”、“爬”、“打”中一至两个的发音；或者张开嘴巴发出一些模糊的声音，但不是“跑”、“爬”、“打”","不通过","没有任何反应"
"23","语言与沟通","模仿表示动作的词","模仿动物的叫声与动作","测试员对儿童说：“小猫小猫，喵喵喵”，并做出小猫叫的动作，观察其反应。","图片“小猫”、“小鸡”等","18-24月","是","通过","盯着测试员的口部，一边模仿声音，一边模仿完整的动作，儿童只要准确完成其中一种动物的音和动作即可","中间反应","张开嘴巴发出一些模糊的声音，但不是相对应的声音，而且不能完整模仿动作","不通过","没有任何反应"
"24","语言与沟通","模仿表示方位的词","模仿方位“上、下、左、右、里、外”","测试员间皮球放在桌子上，让儿童看自己的口型，并对儿童说：“上”，观察儿童的反应，如果儿童能够认真观察并模仿说出“”“上”，则可以继续对“下”“左”“右”“里”“外”的测试，观察儿童的反应。","一个皮球，一张桌子，一个箱子","24-36月","是","通过","盯着测试员的口部，模仿“上” “下”“左”“右”“里”“外”","中间反应","能够模仿其中一至五个方位词；或者儿童张开嘴巴发出一些模糊的声音，但不是“上”“下”“左”“右”“里”“外”","不通过","没有任何反应"
"25","语言与沟通","语言理解名称指令","对自己名字有反应","测试员喊儿童的名字，观察其反应。","","0-6月","是","通过","听见别人喊自己的名字，会有意识地转头","中间反应","停止正在做的事情；或放下手里的物品，但是不能将头转向测试员","不通过","没有任何反应"
"26","语言与沟通","理解常见物品名称","一瓶牛奶","测试员拿出一瓶牛奶给儿童看，观察儿童的反应","","6-12月","是","通过","能够理解并且关注牛奶","中间反应","有轻微的反应","不通过","没有任何反应"
"27","语言与沟通","理解常见物品名称","理解“你、我、他”","测试员A对儿童说：“请你看着我”，观察儿童的反应，如果儿童听到指令看测试员A，立即表扬儿童：“看得好”。接着测试员A对儿童说：“请你看他”，并指着测试员B，让儿童看测试员B，观察儿童的反应。","","12-18月","是","通过","能够理解“你、我、他”，按照要求正确看着代表相应人称的人","中间反应","能够理解其中一至两个人称代词","不通过","没有任何反应"
"28","语言与沟通","指认","指认身体部位","测试员将这些表示身体部位的图片，一一排列开，让儿童都能看到，然后对儿童说：“眼睛，眼睛在哪里？”如果儿童能够将表示眼睛的图片指出来，或者儿童用手指着自己的或测试员的眼睛，都算作通过。接着测试其他的部位。","表示身体基本部位的图片，包括眼睛、鼻子、嘴、耳朵、手和脚","9-12月","是","通过","能够按照测试员的要求指出对应的图片；或者用手正确指出自己身体上相应的部位；或者是用手正确指出测试员身体上相应的部位","中间反应","能够指认其中一至五个身体部位；或者听到指令后乱指身上的部位","不通过","没有任何反应"
"29","语言与沟通","指认","指认食物","测试者将这些图片一一排列，测试者依次说出：“牛奶”，“饼干”，“米饭”，观察儿童的反应。","常吃的食物的图片，包括牛奶、饼干、米饭","12-18月","是","通过","能够按照测试员的要求指出对应的图片","中间反应","能够指认其中一至两种食物；或者乱指这三种食物","不通过","没有任何反应"
"30","语言与沟通","指认","指认家具","测试者将这些图片一一排列，测试者依次说出：“桌子”，“凳子”，“床”，观察儿童的反应。","常见的家具的图片，包括桌子、凳子、床","18-24月","是","通过","能够按照测试员的要求指出对应的图片","中间反应","能够指认其中一至两种家具；或者乱指这三种家具","不通过","没有任何反应"
"31","语言与沟通","指认","指认餐具","测试者将这些图片一一排列，测试者依次说出：“碗”，“筷子”，“勺子”，观察儿童的反应。","常用的餐具的图片，包括碗、筷子、勺子","24-36月","是","通过","能够按照测试员的要求指出对应的图片","中间反应","能够指认其中一至两种餐具；或者乱指这三种餐具","不通过","没有任何反应"
"32","语言与沟通","指认","指认家庭成员","测试员让儿童都能看到其照顾者，然后对儿童说：“XX在哪里？”观察儿童的反应。","","12-18月","是","通过","听到指令用手指照顾者","中间反应","有轻微的反应或乱指","不通过","没有任何反应"
"33","语言与沟通","指认","指认自己","测试员让儿童能够在镜子里看到自己，然后问儿童：“XX在哪里？”","一面镜子","18-24月","是","通过","会指认镜子中的自己或用手指着自己","中间反应","看着镜子做出微笑、点头的动作；或者乱指镜子中的事物","不通过","没有任何反应"
"34","语言与沟通","指认","指认动物","测试者将这些图片一一排列，测试者依次说出：“兔子”，“鸡”，“牛”，“猪”，“大象”观察儿童的反应。","常见的动物的图片，包括兔子、鸡、牛、猪、大象","30-36月","是","通过","能够按照测试员的要求指出对应的图片","中间反应","能够指认其中一至四种动物；或者乱指这五种动物","不通过","没有任何反应"
"35","语言与沟通","指认","指认上午、下午、晚上","测试员展示图片，问儿童：“太阳升起的时候是上午还是下午？请指出相应的图片”，观察儿童的反应。","图片关于上午、下午、晚上","36-48月","是","通过","能够按照测试员的要求指出对应的图片","中间反应","能够指认其中一至两个图片；或者乱指","不通过","没有任何反应"
"36","语言与沟通","动作指令","理解肯定的动作指令","测试员拿出玩具车，对儿童说：“你可以玩车。”或者把玩具车给儿童，说：“玩吧”，观察其反应。","玩具车","9-12月","是","通过","手拿到玩具车开始摆弄","中间反应","有轻微的反应，看着测试员","不通过","没有任何反应"
"37","语言与沟通","动作指令","理解否定的动作指令","测试员拿出糖果摆在儿童面前，儿童要伸手去拿糖果，测试员对儿童说：“不可以。”观察其反应。","糖果","10-12月","是","通过","把手收回，不再去拿糖果","中间反应","有轻微的反应，但不知道怎么办","不通过","没有任何反应"
"38","语言与沟通","动作指令","理解“拍拍手” 、“跺跺脚”、“眨眨眼”等并做动作","测试员对儿童说“你看，图片上的儿童在拍手，请你拍拍手”（或者是“跺跺脚”、“眨眨眼”），观察儿童的反应。","图片 “儿童拍手”、“跺脚”、“眨眼”","18-24月","是","通过","根据测试员“拍拍手”的指令做出相应的拍手动作（或根据“跺跺脚”、“眨眨眼”的指令做出做出相应的动作：跺脚、眨眼）","中间反应","能够根据指令能做出相应的一至两个动作；或者儿童听到指令后乱做动作","不通过","没有任何反应"
"39","语言与沟通","动作指令","理解“拉车”、“推车”并做动作","测试员把图片一一排列，然后问儿童：“‘拉车’或‘推车’的图片是哪个，请你指出来”，观察儿童的反应。","表示不常见的动作的图片，“拉车”、“推车”","24-36月","是","通过","根据要求指出相应的图片，并做出相应的动作","中间反应","能够指出其中一至两个图片；或者听到指令后，乱指这两个图片","不通过","没有任何反应"
